Model,Price,Kilometer,Seller Type,Engine,Max Power,Max Torque,Seating Capacity,Age,Make_BMW,Make_Chevrolet,Make_Datsun,Make_Ferrari,Make_Fiat,Make_Ford,Make_Honda,Make_Hyundai,Make_Isuzu,Make_Jaguar,Make_Jeep,Make_Kia,Make_Lamborghini,Make_Land Rover,Make_Lexus,Make_MG,Make_MINI,Make_Mahindra,Make_Maruti Suzuki,Make_Maserati,Make_Mercedes-Benz,Make_Mitsubishi,Make_Nissan,Make_Porsche,Make_Renault,Make_Rolls-Royce,Make_Skoda,Make_Ssangyong,Make_Tata,Make_Toyota,Make_Volkswagen,Make_Volvo,Fuel Type_CNG + CNG,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_LPG,Fuel Type_Petrol,Fuel Type_Petrol + CNG,Fuel Type_Petrol + LPG,Transmission_Manual,Owner_First,Owner_Fourth,Owner_Second,Owner_Third,Owner_UnRegistered Car,Mileage Intensity,Price per CC,Price_log,Kilometer_log,Engine_log,Max Power_log
Alto LXi CNG,0.019704174657804167,0.3131817332805565,Individual,0.08409658617818483,0.03819444444444442,78 Nm @ 3500 rpm,0.3333333333333333,0.08823529411764706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0.3664260949614942,0.05701498282515377,0.19894985665733955,0.7245083120367246,0.1625485954029493,0.10603595088807127
Ritz Zxi BS-IV,0.015481851516846133,0.14381467052351926,Individual,0.16694421315570357,0.13194444444444445,113 Nm @ 4500 rpm,0.49999999999999994,0.2647058823529412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.07409916732190017,0.038561652075651084,0.16817504961233132,0.5484106029311535,0.29325948296876625,0.29967790939819006
Creta 1.6 SX Plus Petrol,0.09523684417938681,0.23603887451212952,Individual,0.3309741881765196,0.26041666666666663,154 Nm @ 4850 rpm,0.49999999999999994,0.08823529411764706,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.2761680962059975,0.1254111535255165,0.4731753388596891,0.6593604946079226,0.4978573363321983,0.4835697809178643
Brio V MT,0.017921415998288556,0.2566981560134716,Individual,0.16736053288925895,0.13888888888888887,109 Nm @ 4500 rpm,0.49999999999999994,0.23529411764705882,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.1547005450805905,0.04255550418672993,0.18643924430000736,0.678573991890171,0.2938598665195462,0.31149218470574214
Elite i20 Asta 1.2,0.03668729662476872,0.3157963909123497,Individual,0.16694421315570357,0.12152777777777776,115 Nm @ 4000 rpm,0.49999999999999994,0.20588235294117646,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.213664595223996,0.07367310680729297,0.2934572646606157,0.7264395408981992,0.29325948296876625,0.281431081057145
WR-V VX MT Petrol,0.0619273122379814,0.17781916457753394,Individual,0.16777685262281433,0.1458333333333333,110 Nm @ 4800 rpm,0.49999999999999994,0.1176470588235294,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.17546227492644562,0.11525240146980666,0.38780728341930715,0.5953564541882712,0.29445974954208864,0.32304094807642914
Venue SX 1.0 Turbo iMT,0.07787840459989266,0.1502781041893121,Individual,0.08409658617818483,0.24652777777777776,172 Nm @ 1500 rpm,0.49999999999999994,0.058823529411764705,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.21500573902329134,0.17254522478935083,0.4325183980106795,0.5580539540048095,0.1625485954029493,0.4665798586046792
Creta 1.6 SX Plus AT,0.07177949339628661,0.4430291174855832,Individual,0.32722731057452126,0.2743055555555556,265 Nm @ 1900 rpm,0.49999999999999994,0.1764705882352941,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.3388771739747523,0.09680462337603403,0.41640185593404766,0.8057149301756663,0.49377793214932364,0.500015931374354
Ecosport Titanium+ 1.0L EcoBoost,0.0351860261746503,0.17807714413053752,Individual,0.08451290591174021,0.26736111111111105,170 Nm @ 1400 rpm,0.49999999999999994,0.20588235294117646,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.11698476922515814,0.08766114310594678,0.28646397272003954,0.5956803516668399,0.16326851506666795,0.49185864355508047
CR-V 2.4 AT,0.06568058219268057,0.4500015378370318,Individual,0.2922564529558701,0.2395833333333333,,,0.2647058823529412,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.25322017949421044,0.09483261511116434,0.399110557909264,0.8093985287831877,0.4545449774538408,0.457869508683332
Santro GL (CNG),0.0,0.4848636395942747,Individual,0.12073272273105745,0.052083333333333315,96 Nm @ 3000 rpm,0.49999999999999994,0.38235294117647056,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0.20019442100625595,0.015467883690699609,0.0,0.827028786399715,0.22329533770979637,0.13974628562149105
Tiago Revotron XE [2016-2019],0.023363521379967802,0.17158582078333892,Individual,0.16777685262281433,0.12847222222222218,114 Nm @ 3500 rpm,0.49999999999999994,0.1176470588235294,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.16921106243129425,0.05150593493962165,0.22273195356638498,0.5873972997326788,0.29445974954208864,0.2936673339515954
Tigor Revotorq XT,0.030963703033692263,0.2826634494022661,Individual,0.10449625312239796,0.07638888888888887,140 Nm @ 1800 rpm,0.49999999999999994,0.1176470588235294,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0.28060710970227487,0.07510251169538414,0.2656129226148214,0.7007633663426986,0.19700405143912025,0.19389087996927
Innova 2.4 G 8 STR [2016-2017],0.16326316145037736,0.47789121924282607,Individual,0.6648626144879267,0.3506944444444444,343 Nm @ 1400 rpm,1.0,0.08823529411764706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0.5591380169247171,0.13572359077777818,0.5872269606573877,0.8236027872114162,0.7914193364429689,0.5821159294469407
GLC 220 d Progressive,0.34623049755855895,0.3007917423160324,Individual,0.5607826810990841,0.42013888888888884,400 Nm @ 1400 rpm,0.49999999999999994,0.14705882352941174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.25893064579291325,0.32216691375044904,0.754825517478722,0.7151439600341738,0.7120574023345556,0.6468426636380133
Creta SX 1.6 CRDi (O),0.09054537402276677,0.4011945953768918,Individual,0.32722731057452126,0.2743055555555556,260 Nm @ 1500 rpm,0.49999999999999994,0.1176470588235294,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0.3994780408181288,0.12031491689592895,0.4628555432852308,0.7823682745567755,0.49377793214932364,0.500015931374354
M-Class ML 250 CDI,0.2007949227033377,0.7156577256475738,Individual,0.5607826810990841,0.5416666666666666,500 Nm @ 1600 rpm,0.49999999999999994,0.23529411764705882,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.4476029690640538,0.18766016913977632,0.6325678065075402,0.9196846100246736,0.7120574023345556,0.743569266874303
Corolla Altis VL AT Petrol,0.08773049192879474,0.29660829010516326,Individual,0.4171523730224813,0.3159722222222222,173 Nm @ 4000 rpm,0.49999999999999994,0.1764705882352941,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.22466784800069645,0.10132492842043207,0.4564411556349417,0.7118995024371833,0.5858162118897496,0.5464141922169379
A4 2.0 TDI (177bhp) Premium Plus,0.13276860543234711,0.4430291174855832,Individual,0.48792672772689427,0.45138888888888884,380 Nm @ 1750 rpm,0.49999999999999994,0.2647058823529412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.249141274995137,0.13689935032021458,0.5427064380624436,0.8057149301756663,0.6507887381766446,0.6735061945282759
SLK-Class SLK 200 K,0.2101778630165778,0.22064377037613106,Individual,0.41631973355537055,0.4097222222222222,240@3000,0.0,0.3529411764705882,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.09122240840901039,0.23657698365369437,0.6426679694374315,0.6439942508578458,0.5850158117584288,0.6376382681651673
Elite i20 Asta 1.2,0.0342477321433263,0.45974200906800544,Individual,0.16694421315570357,0.12152777777777776,115 Nm @ 4000 rpm,0.49999999999999994,0.20588235294117646,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.314715375284041,0.06963373590896249,0.2819861481475856,0.8144534995538546,0.29325948296876625,0.281431081057145
Thar CRDe 4x4 AC,0.04363067245656638,0.43605669713413464,Individual,0.7085761865112405,0.20138888888888887,247 Nm @ 1800 rpm,0.6666666666666667,0.20588235294117646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,0.2980881289840181,0.03459834434491095,0.32336329202060643,0.8019750921117392,0.822306466332412,0.4071298377208148
Baleno Delta 1.2,0.04175408439391835,0.17437478892391833,Individual,0.16694421315570357,0.12499999999999997,115 Nm @ 4000 rpm,0.49999999999999994,0.08823529411764706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.20402043342638682,0.08206256944228706,0.3156449622069015,0.5909904462979307,0.29325948296876625,0.2875856257839553
Celerio VXi AMT,0.023645009589365,0.26912300907975295,Individual,0.08409658617818483,0.06944444444444442,90 Nm @ 3500 rpm,0.49999999999999994,0.1764705882352941,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.20322912595356657,0.06484122502272839,0.2244663159597664,0.6894430279100034,0.1625485954029493,0.1789942328207239
Ciaz VDi SHVS,0.04363067245656638,0.3407437109298327,Individual,0.18817651956702752,0.1458333333333333,200 Nm @ 1750 rpm,0.49999999999999994,0.1764705882352941,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0.2590938019728762,0.08120173827358775,0.32336329202060643,0.7441385100328395,0.32325773128385293,0.32304094807642914
Ciaz VXi,0.03293412049947268,0.3033645654257169,Individual,0.24021648626144876,0.15277777777777776,130 Nm @ 4000 rpm,0.49999999999999994,0.20588235294117646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.2049373711577785,0.057282073392296046,0.27557176710234765,0.7171181686726933,0.39189146192383095,0.3343358718063074
Creta SX Plus 1.6 AT CRDI,0.0928911091010768,0.4472265145371553,Individual,0.32722731057452126,0.2743055555555556,265 Nm @ 1900 rpm,0.49999999999999994,0.14705882352941174,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.38742837422722326,0.12325370358591582,0.4680715312877659,0.8079390856283948,0.49377793214932364,0.500015931374354
Creta SX Plus 1.6  Petrol,0.06802631727099058,0.38713122352802004,Individual,0.3309741881765196,0.26041666666666663,154 Nm @ 4850 rpm,0.49999999999999994,0.1764705882352941,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,0.2952764041493235,0.09151406848133864,0.4059109612344338,0.773992138897615,0.4978573363321983,0.4835697809178643
Kwid 1.0 RXT AMT Opt,0.029087114971044246,0.06082195108022692,Individual,0.08451290591174021,0.06944444444444442,91 Nm @ 4250 rpm,0.49999999999999994,0.08823529411764706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.07116235608256731,0.07556122577536221,0.25572325770236937,0.3708683239071213,0.16326851506666795,0.1789942328207239
Hector Sharp 2.0 Diesel [2019-2020],0.13614646394511354,0.3056794089823978,Individual,0.4829308909242298,0.42361111111111105,350 Nm @ 1750 rpm,0.49999999999999994,0.08823529411764706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,0.35764829247948815,0.14123511166807226,0.5480697840778803,0.7188809251197124,0.6463899900276937,0.6498745210596177
Tiago Revotron XZA [2017-2019],0.02955626198670625,0.22595675468393486,Individual,0.16777685262281433,0.12847222222222218,114 Nm @ 3500 rpm,0.49999999999999994,0.14705882352941174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.19326232281008066,0.06174261870525663,0.25823457856671217,0.6494068955117815,0.29445974954208864,0.2936673339515954
