Model,Price,Kilometer,Seller Type,Engine,Max Power,Max Torque,Seating Capacity,Age,Make_BMW,Make_Chevrolet,Make_Datsun,Make_Ferrari,Make_Fiat,Make_Ford,Make_Honda,Make_Hyundai,Make_Isuzu,Make_Jaguar,Make_Jeep,Make_Kia,Make_Lamborghini,Make_Land Rover,Make_Lexus,Make_MG,Make_MINI,Make_Mahindra,Make_Maruti Suzuki,Make_Maserati,Make_Mercedes-Benz,Make_Mitsubishi,Make_Nissan,Make_Porsche,Make_Renault,Make_Rolls-Royce,Make_Skoda,Make_Ssangyong,Make_Tata,Make_Toyota,Make_Volkswagen,Make_Volvo,Fuel Type_CNG + CNG,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_LPG,Fuel Type_Petrol,Fuel Type_Petrol + CNG,Fuel Type_Petrol + LPG,Transmission_Manual,Owner_First,Owner_Fourth,Owner_Second,Owner_Third,Owner_UnRegistered Car
Creta 1.6 E Petrol,740000,60125,Individual,1591.0,122.0,154 Nm @ 4850 rpm,5.0,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
S-Presso VXi AMT,470000,2169,Individual,998.0,67.0,90 Nm @ 3500 rpm,5.0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Vento Comfortline Petrol AT,765000,60240,Individual,1197.0,103.0,153 Nm @ 3800 rpm,5.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Santro Sportz AMT [2018-2020],589000,13772,Individual,1086.0,68.0,99 Nm @ 4500 rpm,5.0,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Venue SX 1.0 (O) Petrol [2019-2020],999000,27464,Individual,998.0,118.0,172 Nm @ 1500 rpm,5.0,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Alto LXi CNG,370000,47377,Individual,998.0,58.0,78 Nm @ 3500 rpm,4.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
Ritz Zxi BS-IV,325000,23086,Individual,1197.0,85.0,113 Nm @ 4500 rpm,5.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Creta 1.6 SX Plus Petrol,1175000,36313,Individual,1591.0,122.0,154 Nm @ 4850 rpm,5.0,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Brio V MT,351000,39276,Individual,1198.0,87.0,109 Nm @ 4500 rpm,5.0,10,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Elite i20 Asta 1.2,551000,47752,Individual,1197.0,82.0,115 Nm @ 4000 rpm,5.0,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
WR-V VX MT Petrol,819999,27963,Individual,1199.0,89.0,110 Nm @ 4800 rpm,5.0,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Venue SX 1.0 Turbo iMT,990000,24013,Individual,998.0,118.0,172 Nm @ 1500 rpm,5.0,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Creta 1.6 SX Plus AT,925000,66000,Individual,1582.0,126.0,265 Nm @ 1900 rpm,5.0,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Ecosport Titanium+ 1.0L EcoBoost,535000,28000,Individual,999.0,124.0,170 Nm @ 1400 rpm,5.0,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
CR-V 2.4 AT,860000,67000,Individual,1498.0,116.0,,,11,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Santro GL (CNG),145000,72000,Individual,1086.0,62.0,96 Nm @ 3000 rpm,5.0,15,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
Tiago Revotron XE [2016-2019],409000,27069,Individual,1199.0,84.0,114 Nm @ 3500 rpm,5.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Tigor Revotorq XT,490000,43000,Individual,1047.0,69.0,140 Nm @ 1800 rpm,5.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Innova 2.4 G 8 STR [2016-2017],1900000,71000,Individual,2393.0,148.0,343 Nm @ 1400 rpm,8.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
GLC 220 d Progressive,3850000,45600,Individual,2143.0,168.0,400 Nm @ 1400 rpm,5.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Creta SX 1.6 CRDi (O),1125000,60000,Individual,1582.0,126.0,260 Nm @ 1500 rpm,5.0,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
M-Class ML 250 CDI,2300000,105101,Individual,2143.0,203.0,500 Nm @ 1600 rpm,5.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Corolla Altis VL AT Petrol,1095000,45000,Individual,1798.0,138.0,173 Nm @ 4000 rpm,5.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
A4 2.0 TDI (177bhp) Premium Plus,1575000,66000,Individual,1968.0,177.0,380 Nm @ 1750 rpm,5.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
SLK-Class SLK 200 K,2400000,34105,Individual,1796.0,165.0,240@3000,2.0,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Elite i20 Asta 1.2,525000,68397,Individual,1197.0,82.0,115 Nm @ 4000 rpm,5.0,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Thar CRDe 4x4 AC,625000,65000,Individual,2498.0,105.0,247 Nm @ 1800 rpm,6.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
Baleno Delta 1.2,605000,27469,Individual,1197.0,83.0,115 Nm @ 4000 rpm,5.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Celerio VXi AMT,412000,41058,Individual,998.0,67.0,90 Nm @ 3500 rpm,5.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Ciaz VDi SHVS,625000,51330,Individual,1248.0,89.0,200 Nm @ 1750 rpm,5.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Ciaz VXi,511000,45969,Individual,1373.0,91.0,130 Nm @ 4000 rpm,5.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Creta SX Plus 1.6 AT CRDI,1150000,66602,Individual,1582.0,126.0,265 Nm @ 1900 rpm,5.0,7,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Creta SX Plus 1.6  Petrol,885000,57983,Individual,1591.0,122.0,154 Nm @ 4850 rpm,5.0,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Kwid 1.0 RXT AMT Opt,470000,11183,Individual,999.0,67.0,91 Nm @ 4250 rpm,5.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Hector Sharp 2.0 Diesel [2019-2020],1611000,46301,Individual,1956.0,169.0,350 Nm @ 1750 rpm,5.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Tiago Revotron XZA [2017-2019],475000,34867,Individual,1199.0,84.0,114 Nm @ 3500 rpm,5.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Innova 2.5 GX BS IV 7 STR,865000,43634,Individual,2494.0,101.0,200 Nm @ 1200 rpm,7.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
X3 xDrive 20d Luxury Line [2018-2020],3800000,9512,Corporate,1995.0,190.0,400 Nm @ 1750 rpm,5.0,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Compass Limited Plus 2.0 Diesel 4x4 AT,2475000,11293,Individual,1956.0,171.0,350 Nm @ 1750 rpm,5.0,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Scorpio SLE BS-IV,400000,78000,Individual,2179.0,120.0,290 Nm @ 1800 rpm,8.0,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
Brio S MT,440000,50374,Individual,1198.0,87.0,109 Nm @ 4500 rpm,5.0,8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
3-Series 320i Luxury Line,2800000,15900,Individual,1998.0,181.0,270 Nm @ 1350 rpm,5.0,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
City V Petrol [2017-2019],645000,64000,Individual,1497.0,117.0,145 Nm @ 4600 rpm,5.0,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Polo Highline1.2L (D),365000,78000,Individual,1199.0,74.0,180 Nm @ 2000 rpm,5.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Vitara Brezza ZXi Plus,1044999,24000,Individual,1462.0,103.0,138 Nm @ 4400 rpm,5.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Eeco 7 STR [2019-2020],515000,40310,Individual,1196.0,73.0,101 Nm @ 3000 rpm,7.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],455000,69700,Individual,1197.0,79.0,112 Nm @ 4000 rpm,5.0,9,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
X3 xDrive20d,1800000,74073,Individual,1995.0,184.0,380 Nm @ 1750 rpm,5.0,12,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Fortuner 2.8 4x2 AT [2016-2020],3499000,73000,Individual,2755.0,174.0,450 Nm @ 1600 rpm,7.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Civic 1.8S MT,190000,130000,Individual,1799.0,130.0,171.62 Nm @ 4300 rpm,5.0,18,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
A4 2.0 TDI (143 bhp),1250000,50000,Individual,1498.0,116.0,,,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Swift ZXi Plus AMT,775000,24000,Individual,1197.0,89.0,113 Nm @ 4400 rpm,5.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Elite i20 Sportz 1.5 MT Diesel,825000,43000,Individual,1493.0,99.0,240 Nm @ 1500 rpm,5.0,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
A3 35 TDI Technology + Sunroof,2250000,40500,Individual,1968.0,141.0,320 Nm @ 1750 rpm,5.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
City V CVT Petrol [2017-2019],865000,49013,Individual,1497.0,117.0,145 Nm @ 4600 rpm,5.0,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Figo Duratorq Diesel Titanium 1.4,299000,64983,Individual,1399.0,68.0,160 Nm @ 2000 rpm,5.0,11,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Jazz VX Petrol,570000,92270,Individual,1199.0,89.0,110 Nm @ 4800 rpm,5.0,7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Polo Highline1.2L (P),385000,65000,Individual,1198.0,74.0,110 Nm @ 3750 rpm,5.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Amaze 1.5 SX i-DTEC,350000,110000,Individual,1498.0,99.0,200 Nm @ 1750 rpm,5.0,10,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False
Camry 2.5L AT,2345000,47000,Individual,2494.0,179.0,233 Nm @ 4100 rpm,5.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Thar LX 4-STR Hard Top Petrol AT,1650000,10000,Individual,1997.0,150.0,320 Nm @ 1500 rpm,4.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
C-Class 250 CDI Elegance,1100000,51500,Individual,2143.0,207.0,500@1600,5.0,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Q3 35 TDI quattro Premium Plus,2900000,35000,Individual,1968.0,184.0,380 Nm @ 1750 rpm,5.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Baleno Sigma 1.2,545000,61518,Individual,1197.0,83.0,115 Nm @ 4000 rpm,5.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
X1 sDrive20d xLine,2990000,34000,Corporate,1995.0,184.0,350 Nm @ 1750 rpm,5.0,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Baleno Zeta 1.2,615000,36058,Individual,1197.0,83.0,115 Nm @ 4000 rpm,5.0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
Creta 1.6 SX Plus AT,890000,88000,Individual,1582.0,126.0,265 Nm @ 1900 rpm,5.0,8,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Vento Comfortline Petrol,430000,98112,Individual,1598.0,103.0,153 Nm @ 3800 rpm,5.0,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False
C-Class 220 BlueEfficiency,1650000,58000,Individual,2143.0,170.0,400 Nm @ 2800 rpm,5.0,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
